,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,128062,亚药转债,2.14%,106.021,8.98,-5.05,0,2.16,AA,5.929,9.650,未到转股期,99.029
3,113524,奇精转债,-1.78%,105.11,-3.3,-0.16,0,2.16,AA,5.63,3.300,未到转股期,95.05
5,123023,迪森转债,2.10%,102.3,1.84,4.86,0,2.09,AA,5.893,6.000,未到转股期,92.84
13,113514,威帝转债,0.51%,102.49,2.89,6.45,0,2.04,A+,4.225,1.999,191514,91.06
14,123011,德尔转债,0.44%,103.15,0.35,6.07,0,2.6,AA-,5.222,5.556,123011,90.78
17,128060,中装转债,0.32%,100.821,2.86,9.41,0,2.03,AA,5.91,5.250,未到转股期,89.769
24,123019,中来转债,0.60%,101.44,3.84,10.84,0,3.72,AA-,5.83,10.000,未到转股期,87.72
26,128056,今飞转债,0.67%,102.3,1.61,10.25,0,3.08,A+,5.838,3.680,未到转股期,87.45
31,128033,迪龙转债,0.92%,101.78,1.61,11.81,1,1.77,AA,4.663,5.199,128033,86.41
32,113016,小康转债,-0.69%,98.72,-1.07,15.04,1,2.64,AA,4.523,8.814,191016,86.24000000000001
33,113528,长城转债,-0.31%,101.63,0.88,12.57,0,2.66,AA-,5.841,6.340,未到转股期,85.80000000000001
34,128044,岭南转债,0.02%,102.7,-1.32,11.81,1,1.7,AA,5.296,6.594,128044,85.49
35,128018,时达转债,0.58%,99.64,0.94,15.08,1,2.42,AA,4.523,8.823,128018,85.28
36,123010,博世转债,0.68%,102.232,1.26,12.74,1,2.05,AA-,5.186,4.298,123010,85.028
38,123024,岱勒转债,-0.59%,100.4,1.82,14.78,0,2.55,A+,4.896,2.100,未到转股期,84.82
52,128050,钧达转债,0.31%,102.02,0.1,15.51,0,3.63,AA-,5.619,3.200,未到转股期,82.47
56,113505,杭电转债,1.54%,104.06,1.22,14.41,0,1.71,AA,4.852,7.767,191505,81.53
58,127003,海印转债,0.23%,102.465,3.09,16.28,2,3.66,AA,3.11,11.108,127003,81.255
TOTAL,,,,102.18216666666666,1.5333333333333332,10.149999999999999,,2.481666666666667,,,,,
